OBJECTID,Join_Count,TARGET_FID,JOIN_FID,Station_ID,State,Network,Station_Na,Latitude,Longitude,Elevation,HUC2__2_di,HUC2_Name,HUC4__4_di,HUC4_Name,HUC6__6_di,HUC6_Name,HUC8__8_di,HUC8_Name,HUC10__10_,HUC10_Name,HUC12__12_,HUC12_Name,Report_Tim,Start_Date,End_Date,AREA,PERIMETER,OBJECTID_1,LEVEL2,LEVEL1,LEVEL3,Shape_Leng,OID_,NAME,Area_2,Hectares,PLY_HITS,SumPaAr,PctEcoRgn,NAME_L1,NAME_L2,Label
1,1,1,47,301,CA,SNOTEL,Adin Mtn,41.235830000000000,-120.791920000000005,6190,18,California Region,1802,Sacramento,180200,Upper Sacramento,18020002,Upper Pit,1802000214,Cottonwood Creek-Ash Creek,180200000000.000000000000000,Cottonwood Creek,-8,10/1/1983 0:00:00,1/1/2100 0:00:00,56100000000.000000000000000,2794705.000000000000000,1,6.200000000000000,6,6.2.8,2794705.023320000153035,65,Eastern Cascade Slopes and Foothills,56075800204.199996948242188,5607580,2447,30919379421.000000000000000,55,Northwestern Forested Mountains,Western Cordillera,6.2.8: Eastern Cascade Slopes and Foothills
2,1,2,9,907,UT,SNOTEL,Agua Canyon,37.522170000000003,-112.271180000000001,8900,16,Great Basin Region,1603,Escalante Desert-Sevier Lake,160300,Escalante Desert-Sevier Lake,16030002,East Fork Sevier,1603000203,Upper East Fork Sevier River,160300000000.000000000000000,East Fork Sevier River Headwaters,-8,10/1/1994 0:00:00,1/1/2100 0:00:00,44700000000.000000000000000,2717030.200000000186265,2,6.200000000000000,6,6.2.13,2717030.170359999872744,70,Wasatch and Uinta Mountains,44678389660.400001525878906,4467839,3964,30088257535.200000762939453,67,Northwestern Forested Mountains,Western Cordillera,6.2.13: Wasatch and Uinta Mountains
3,1,3,34,916,MT,SNOTEL,Albro Lake,45.597230000000003,-111.959019999999995,8300,10,Missouri Region,1002,Missouri Headwaters,100200,Missouri Headwaters,10020005,Jefferson,1002000507,Willow Creek,100200000000.000000000000000,South Willow Creek,-8,9/1/1996 0:00:00,1/1/2100 0:00:00,134000000000.000000000000000,3913764.200000000186265,3,6.200000000000000,6,6.2.10,3913764.233450000174344,67,Middle Rockies,133880389297.000000000000000,13388039,4843,96748903179.399993896484375,72,Northwestern Forested Mountains,Western Cordillera,6.2.10: Middle Rockies
4,0,4,-1,1267,AK,SNOTEL,Alexander Lake,61.749670000000002,-150.889669999999995,160,19,Alaska Region,1902,South Central Alaska,190205,Susitna River,19020505,Lower Susitna River,1902050511,Alexander Creek,190205000000.000000000000000,Headwaters Alexander Creek,-9,8/28/2014 0:00:00,1/1/2100 0:00:00,,,4,,,,,,,,,,,,,,
5,1,5,6,908,WA,SNOTEL,Alpine Meadows,47.779570000000000,-121.698470000000000,3500,17,Pacific Northwest Region,1711,Puget Sound,171100,Puget Sound,17110010,Snoqualmie,1711001005,Tolt River,171100000000.000000000000000,Upper North Fork Tolt River,-8,9/1/1994 0:00:00,1/1/2100 0:00:00,35200000000.000000000000000,1359260.300000000046566,5,6.200000000000000,6,6.2.5,1359260.416519999969751,62,North Cascades,35158274664.599998474121094,3515827,2605,26082491781.299999237060547,74,Northwestern Forested Mountains,Western Cordillera,6.2.5: North Cascades
6,0,6,-1,1189,AK,SNOTEL,American Creek,64.789689999999993,-141.233759999999990,1050,19,Alaska Region,1907,Headwaters Yukon-Lake Laberge,190705,Fortymile River-Yukon River,19070505,Tatonduk River-Yukon River,1907050505,Mission Creek,190705000000.000000000000000,American Creek,-9,8/4/2011 0:00:00,1/1/2100 0:00:00,,,6,,,,,,,,,,,,,,
7,0,7,-1,1062,AK,SNOTEL,Anchor River Divide,59.859720000000003,-151.314999999999998,1653,19,Alaska Region,1902,South Central Alaska,190203,Kenai Peninsula,19020301,Lower Kenai Peninsula,1902030107,Anchor River,190203000000.000000000000000,Headwaters Anchor River,-9,10/1/1980 0:00:00,1/1/2100 0:00:00,,,7,,,,,,,,,,,,,,
8,0,8,-1,1070,AK,SNOTEL,Anchorage Hillside,61.114829999999998,-149.666830000000004,2080,19,Alaska Region,1902,South Central Alaska,190204,Knik Arm,19020401,Anchorage,1902040106,Campbell Creek,190204000000.000000000000000,South Fork Campbell Creek,-9,10/1/2004 0:00:00,1/1/2100 0:00:00,,,8,,,,,,,,,,,,,,
9,1,9,46,302,OR,SNOTEL,Aneroid Lake #2,45.213279999999997,-117.192580000000007,7400,17,Pacific Northwest Region,1706,Lower Snake,170601,Lower Snake,17060105,Wallowa,1706010501,Upper Wallowa River,170601000000.000000000000000,West Fork Wallowa River-Wallowa River,-8,10/1/1980 0:00:00,1/1/2100 0:00:00,70800000000.000000000000000,2071008.000000000000000,9,6.200000000000000,6,6.2.9,2071007.989820000017062,66,Blue Mountains,70756821948.899993896484375,7075682,3716,37742788243.099998474121094,53,Northwestern Forested Mountains,Western Cordillera,6.2.9: Blue Mountains
10,1,10,1,1000,OR,SNOTEL,Annie Springs,42.870069999999998,-122.165180000000007,6010,18,California Region,1801,Klamath-Northern California Coastal,180102,Klamath,18010203,Upper Klamath Lake,1801020301,Wood River,180102000000.000000000000000,Upper Annie Creek,-8,9/1/2000 0:00:00,1/1/2100 0:00:00,44700000000.000000000000000,2397485.500000000000000,10,6.200000000000000,6,6.2.7,2397485.614360000006855,64,Cascades,44747440340.500000000000000,4474744,3329,30607392777.799999237060547,68,Northwestern Forested Mountains,Western Cordillera,6.2.7: Cascades
11,1,11,22,303,CO,SNOTEL,Apishapa,37.330620000000003,-105.067490000000006,10000,11,Arkansas-White-Red Region,1102,Upper Arkansas,110200,Upper Arkansas,11020006,Huerfano,1102000604,Upper Cucharas River,110200000000.000000000000000,Middle Creek-Cucharas River,-8,10/1/1979 0:00:00,1/1/2100 0:00:00,144000000000.000000000000000,5410028.000000000000000,11,6.200000000000000,6,6.2.14,5410027.891010000370443,71,Southern Rockies,144347694381.000000000000000,14434769,11884,88090710613.100006103515625,61,Northwestern Forested Mountains,Western Cordillera,6.2.14: Southern Rockies
12,1,12,22,1030,CO,SNOTEL,Arapaho Ridge,40.350980000000000,-106.381420000000006,10960,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010001,Colorado Headwaters,1401000106,Troublesome Creek-Colorado River,140100000000.000000000000000,Rabbit Ears Creek-Troublesome Creek,-8,8/1/2002 0:00:00,1/1/2100 0:00:00,144000000000.000000000000000,5410028.000000000000000,12,6.200000000000000,6,6.2.14,5410027.891010000370443,71,Southern Rockies,144347694381.000000000000000,14434769,11884,88090710613.100006103515625,61,Northwestern Forested Mountains,Western Cordillera,6.2.14: Southern Rockies
13,1,13,46,304,OR,SNOTEL,Arbuckle Mtn,45.190849999999998,-119.253919999999994,5770,17,Pacific Northwest Region,1707,Middle Columbia,170702,John Day,17070202,North Fork John Day,1707020206,Lower Camas Creek,170702000000.000000000000000,Upper Fivemile Creek,-8,10/1/1978 0:00:00,1/1/2100 0:00:00,70800000000.000000000000000,2071008.000000000000000,13,6.200000000000000,6,6.2.9,2071007.989820000017062,66,Blue Mountains,70756821948.899993896484375,7075682,3716,37742788243.099998474121094,53,Northwestern Forested Mountains,Western Cordillera,6.2.9: Blue Mountains
